Epoch | Accuracy |  Loss  | Val_Accuracy | Val_Loss | Learning Rate
------|----------|--------|--------------|----------|---------------
  1   |  0.0329  | 5.1186 |    0.4071    |  3.8195  |    0.00005
  2   |  0.2134  | 3.5453 |    0.6829    |  2.3322  |    0.00005
  3   |  0.4793  | 2.3988 |    0.7751    |  1.4537  |    0.00005
  4   |  0.6491  | 1.7343 |    0.8028    |  1.1047  |    0.00005
  5   |  0.7372  | 1.3333 |    0.8218    |  0.9193  |    0.00005
  6   |  0.7949  | 1.0705 |    0.8319    |  0.8052  |    0.00005
  7   |  0.8240  | 0.8943 |    0.8414    |  0.7163  |    0.00005
  8   |  0.8578  | 0.7507 |    0.8470    |  0.6530  |    0.00005
  9   |  0.8674  | 0.6602 |    0.8570    |  0.6069  |    0.00005
 10   |  0.8817  | 0.5847 |    0.8636    |  0.5642  |    0.00005
 11   |  0.9091  | 0.4766 |    0.8813    |  0.5069  |    0.00005
 12   |  0.9204  | 0.4248 |    0.8838    |  0.4850  |    0.00005
 13   |  0.9296  | 0.3725 |    0.8848    |  0.4732  |    0.00005
 14   |  0.9368  | 0.3464 |    0.8971    |  0.4440  |    0.00005
 15   |  0.9381  | 0.3243 |    0.9009    |  0.4292  |    0.00005
 16   |  0.9453  | 0.2982 |    0.9034    |  0.4070  |    0.00005
 17   |  0.9510  | 0.2550 |    0.9015    |  0.4077  |    0.00005
 18   |  0.9593  | 0.2367 |    0.9052    |  0.3994  |    0.00005
 19   |  0.9596  | 0.2134 |    0.9052    |  0.3926  |    0.00005
 20   |  0.9615  | 0.1910 |    0.9116    |  0.3753  |    0.00005
 21   |  0.9676  | 0.1652 |    0.9190    |  0.3614  |    0.00005
 22   |  0.9743  | 0.1584 |    0.9168    |  0.3573  |    0.00005
 23   |  0.9712  | 0.1387 |    0.9208    |  0.3463  |    0.00005
 24   |  0.9751  | 0.1365 |    0.9191    |  0.3489  |    0.00005
 25   |  0.9814  | 0.1138 |    0.9216    |  0.3455  |    0.00005
 26   |  0.9801  | 0.1228 |    0.9232    |  0.3393  |    0.00005
 27   |  0.9817  | 0.1054 |    0.9234    |  0.3367  |    0.00005
 28   |  0.9855  | 0.0968 |    0.9292    |  0.3237  |    0.00005
 29   |  0.9838  | 0.0922 |    0.9305    |  0.3183  |    0.00005
 30   |  0.9856  | 0.0778 |    0.9300    |  0.3216  |    0.00005
